Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail,Tail First Tokens
annual report,contain,financial management,an assessment of the soundness of financial management,"['assessment', 'soundness', 'financial management']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 258  Annual report of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Commission and the other Union institutions concerned, by 30 June, \nany observations which are, in its opinion, such that they should appear in its annual report. Those observations shall \nremain confidential and shall be subject to an adversarial procedure. Each Union institution shall address its reply to the \nCourt of Auditors by 15 October. The replies of Union institutions other than the Commission shall be sent to the \nCommission at the same time. ', ' \nThe annual report of the Court of Auditors shall contain an assessment of the soundness of financial management. ', ' \nThe annual report of the Court of Auditors shall contain a section for each Union institution and for the common \nprovisioning fund. The Court of Auditors may add any summary report or general observations which it sees fit to make. ', ' \nThe Court of Auditors shall transmit to the authorities responsible for giving discharge and to the other Union \ninstitutions, by 15 November, its annual report accompanied by the replies of Union institutions and shall ensure \npublication thereof in the Official Journal of the European Union. ']",an assessment of the soundness of financial management,an assessment of the soundness of financial management
annual report,contain,union institution,a section for each union institution and for the common provisioning fund,"['section', 'union institution', 'common provisioning fund']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 258  Annual report of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Commission and the other Union institutions concerned, by 30 June, \nany observations which are, in its opinion, such that they should appear in its annual report. Those observations shall \nremain confidential and shall be subject to an adversarial procedure. Each Union institution shall address its reply to the \nCourt of Auditors by 15 October. The replies of Union institutions other than the Commission shall be sent to the \nCommission at the same time. ', ' \nThe annual report of the Court of Auditors shall contain an assessment of the soundness of financial management. ', ' \nThe annual report of the Court of Auditors shall contain a section for each Union institution and for the common \nprovisioning fund. The Court of Auditors may add any summary report or general observations which it sees fit to make. ', ' \nThe Court of Auditors shall transmit to the authorities responsible for giving discharge and to the other Union \ninstitutions, by 15 November, its annual report accompanied by the replies of Union institutions and shall ensure \npublication thereof in the Official Journal of the European Union. ']",a section for each union institution and for the common provisioning fund,a section for each union institution and for
auditor,transmit,union institution,to the authorities responsible for giving discharge and to the other union institutions by 15 november it annual report accompanied by the replies of union institutions,"['authorities', 'discharge', 'union institutions', '15 november', 'replies', 'union institutions']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 258  Annual report of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Commission and the other Union institutions concerned, by 30 June, \nany observations which are, in its opinion, such that they should appear in its annual report. Those observations shall \nremain confidential and shall be subject to an adversarial procedure. Each Union institution shall address its reply to the \nCourt of Auditors by 15 October. The replies of Union institutions other than the Commission shall be sent to the \nCommission at the same time. ', ' \nThe annual report of the Court of Auditors shall contain an assessment of the soundness of financial management. ', ' \nThe annual report of the Court of Auditors shall contain a section for each Union institution and for the common \nprovisioning fund. The Court of Auditors may add any summary report or general observations which it sees fit to make. ', ' \nThe Court of Auditors shall transmit to the authorities responsible for giving discharge and to the other Union \ninstitutions, by 15 November, its annual report accompanied by the replies of Union institutions and shall ensure \npublication thereof in the Official Journal of the European Union. ']",to the authorities responsible for giving discharge and to the other union institutions by 15 november it annual report accompanied by the replies of union institutions,to the authorities responsible for giving discharge and
auditor,ensure,european union,publication thereof in the official journal of the european union,"['publication', 'official journal', 'european union']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 258  Annual report of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Commission and the other Union institutions concerned, by 30 June, \nany observations which are, in its opinion, such that they should appear in its annual report. Those observations shall \nremain confidential and shall be subject to an adversarial procedure. Each Union institution shall address its reply to the \nCourt of Auditors by 15 October. The replies of Union institutions other than the Commission shall be sent to the \nCommission at the same time. ', ' \nThe annual report of the Court of Auditors shall contain an assessment of the soundness of financial management. ', ' \nThe annual report of the Court of Auditors shall contain a section for each Union institution and for the common \nprovisioning fund. The Court of Auditors may add any summary report or general observations which it sees fit to make. ', ' \nThe Court of Auditors shall transmit to the authorities responsible for giving discharge and to the other Union \ninstitutions, by 15 November, its annual report accompanied by the replies of Union institutions and shall ensure \npublication thereof in the Official Journal of the European Union. ']",publication thereof in the official journal of the european union,publication thereof in the official journal of the
auditor,transmit,union institution,to the union institution or the body,"['union institution', 'body']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",to the union institution or the body,to the union institution or the body
auditor,concern,union institution,any observations which are in the body opinion such that the union institution or the body should appear in a special report,"['observations', '', 'body opinion', 'union institution', 'body', 'special report']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",any observations which are in the body opinion such that the union institution or the body should appear in a special report,any observations which are in the body opinion
union institution,appear,special report,in a special report,['special report'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",in a special report,in a special report
observation,be,adversarial procedure,subject to an adversarial procedure,['adversarial procedure'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",subject to an adversarial procedure,subject to an adversarial procedure
union institution,inform,court,the court of auditors in general within six weeks of transmission of those observations of any replies it wishes to make in relation to those observations,"['court', 'auditors', 'weeks', 'transmission', 'observations', 'replies', '', 'relation', 'observations']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",the court of auditors in general within six weeks of transmission of those observations of any replies it wishes to make in relation to those observations,the court of auditors in general within six
period,be,adversarial procedure,necessary where during an adversarial procedure,['adversarial procedure'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",necessary where during an adversarial procedure,necessary where during an adversarial procedure
union institution,concern,member state,to obtain feedback from member states in order to finalise member states,"['feedback', 'member states', 'order', 'member states']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",to obtain feedback from member states in order to finalise member states,to obtain feedback from member states in order
union institution,address,court,the observations of the court of auditors directly and exclusively,"['observations', 'court', 'auditors']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",the observations of the court of auditors directly and exclusively,the observations of the court of auditors directly
auditor,ensure,appropriate period,that special reports are drawn up and adopted within an appropriate period of time which shall in general not exceed 13 months,"['special reports', 'appropriate period', 'time', '', '13 months']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",that special reports are drawn up and adopted within an appropriate period of time which shall in general not exceed 13 months,that special reports are drawn up and adopted
special report,adopt,appropriate period,within an appropriate period of time which shall in general not exceed 13 months,"['appropriate period', 'time', '', '13 months']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",within an appropriate period of time which shall in general not exceed 13 months,within an appropriate period of time which shall
union institution,transmit,european parliament,without delay to the european parliament and to the council,"['delay', 'european parliament', 'council']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",without delay to the european parliament and to the council,without delay to the european parliament and to
action,be,commission,where appropriate in conjunction with the commission,"['conjunction', 'commission']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",where appropriate in conjunction with the commission,where appropriate in conjunction with the commission
auditor,take,necessary step,all necessary steps,['necessary steps'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 259  Special reports of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Union institution or the body concerned any observations which are, in \nits opinion, such that they should appear in a special report. Those observations shall remain confidential and shall be \nsubject to an adversarial procedure.   \x0c \nThe Union institution or the body concerned shall inform the Court of Auditors, in general, within six weeks of \ntransmission of those observations, of any replies it wishes to make in relation to those observations. That period \nshall be suspended in duly justified cases, in particular where, during the adversarial procedure, it is necessary for the \nUnion institution or body concerned to obtain feedback from Member States in order to finalise its reply. \nThe replies of the Union institution or the body concerned shall directly and exclusively address the observations of the \nCourt of Auditors. \nUpon request of the Court of Auditors or of the Union institution or body concerned, the replies may be examined by \nthe European Parliament and by the Council after publication of the report. \nThe Court of Auditors shall ensure that special reports are drawn up and adopted within an appropriate period of time, \nwhich shall, in general, not exceed 13 months. \nThe special reports, together with the replies of the Union institutions or bodies concerned, shall be transmitted without \ndelay to the European Parliament and to the Council, each of which shall decide, where appropriate in conjunction with \nthe Commission, what action is to be taken in response. \nThe Court of Auditors shall take all necessary steps to ensure that the replies to its observations from each Union \ninstitution or body concerned as well as the timeline for the drawing up of the special report are published together with \nthe special report. ', ' \nThe opinions referred to in the second subparagraph of Article 287(4) TFEU which do not relate to proposals or \ndrafts covered by the legislative consultation procedure may be published by the Court of Auditors in the Official Journal \nof the European Union. The Court of Auditors shall take its decision on publication after consulting the Union institution \nwhich requested the opinion or which is concerned by it. Opinions published shall be accompanied by any remarks by \nthe Union institutions concerned. \nCHAPTER 2 \nDischarge ']",all necessary steps,all necessary steps
