Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail,Tail First Tokens
union institution,send,union institution,the union institutions other than the commission and each of the bodies,"['union institutions', 'commission', '', 'bodies']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 246  Approval of the final consolidated accounts ,"[' \nThe Court of Auditors shall, by 1 June, make its observations on the provisional accounts of the Union institutions \nother than the Commission, and of each of the bodies referred to in Article 241, and, by 15 June, make its observations \non the provisional accounts of the Commission and the consolidated provisional accounts of the Union. ', ' \nThe accounting officers of the Union institutions other than the Commission and of the bodies referred to in \nArticle 241 shall, by 15 June, send the required accounting information to the accounting officer of the Commission, in \nthe manner and format laid down by the latter, with a view to drawing up the final consolidated accounts. \nThe Union institutions other than the Commission, and each of the bodies referred to in Article 241, shall, by 1 July, \nsend their final accounts to the European Parliament, to the Council, to the Court of Auditors and to the accounting \nofficer of the Commission. ', ' \nThe accounting officer of each Union institution and of each body referred to in Article 241 shall send to the Court \nof Auditors, with a copy to the accounting officer of the Commission, at the same date as the transmission of his or her \nfinal accounts, a representation letter covering those final accounts. \nThe final accounts shall be accompanied by a note drawn up by the accounting officer, in which the latter declares that \nthe final accounts were prepared in accordance with this Title and with the applicable accounting principles, rules and \nmethods set out in the notes to the financial statements. ', ' \nThe accounting officer of the Commission shall draw up the final consolidated accounts on the basis of the \ninformation presented pursuant to paragraph 2 of this Article by the Union institutions other than the Commission, \nand by the bodies referred to in Article 241. \nThe final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the Commission, \nin which the latter declares that the final consolidated accounts were prepared in accordance with this Title and with the \napplicable accounting principles, rules and methods set out in the notes to the financial statements. ', ' \nAfter approving the final consolidated accounts and its own final accounts, the Commission shall, by 31 July, send \nthem by electronic means to the European Parliament, to the Council and to the Court of Auditors. \nBy the same date, the accounting officer of the Commission shall transmit a representation letter covering the final \nconsolidated accounts to the Court of Auditors. ', ' \nThe final consolidated accounts shall be published by 15 November in the Official Journal of the European Union \ntogether with the statement of assurance given by the Court of Auditors in accordance with Article 287 TFEU and \nArticle 106a of the Euratom Treaty. \nCHAPTER 2 \nIntegrated financial and accountability reporting ']",the union institutions other than the commission and each of the bodies,the union institutions other than the commission and
union institution,refer,article 241 final account,to in article 241 final accounts to the european parliament to the council to the court of auditors and to the accounting officer of the commission,"['article 241 final accounts', 'european parliament', 'council', 'court', 'auditors', 'accounting officer', 'commission']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 246  Approval of the final consolidated accounts ,"[' \nThe Court of Auditors shall, by 1 June, make its observations on the provisional accounts of the Union institutions \nother than the Commission, and of each of the bodies referred to in Article 241, and, by 15 June, make its observations \non the provisional accounts of the Commission and the consolidated provisional accounts of the Union. ', ' \nThe accounting officers of the Union institutions other than the Commission and of the bodies referred to in \nArticle 241 shall, by 15 June, send the required accounting information to the accounting officer of the Commission, in \nthe manner and format laid down by the latter, with a view to drawing up the final consolidated accounts. \nThe Union institutions other than the Commission, and each of the bodies referred to in Article 241, shall, by 1 July, \nsend their final accounts to the European Parliament, to the Council, to the Court of Auditors and to the accounting \nofficer of the Commission. ', ' \nThe accounting officer of each Union institution and of each body referred to in Article 241 shall send to the Court \nof Auditors, with a copy to the accounting officer of the Commission, at the same date as the transmission of his or her \nfinal accounts, a representation letter covering those final accounts. \nThe final accounts shall be accompanied by a note drawn up by the accounting officer, in which the latter declares that \nthe final accounts were prepared in accordance with this Title and with the applicable accounting principles, rules and \nmethods set out in the notes to the financial statements. ', ' \nThe accounting officer of the Commission shall draw up the final consolidated accounts on the basis of the \ninformation presented pursuant to paragraph 2 of this Article by the Union institutions other than the Commission, \nand by the bodies referred to in Article 241. \nThe final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the Commission, \nin which the latter declares that the final consolidated accounts were prepared in accordance with this Title and with the \napplicable accounting principles, rules and methods set out in the notes to the financial statements. ', ' \nAfter approving the final consolidated accounts and its own final accounts, the Commission shall, by 31 July, send \nthem by electronic means to the European Parliament, to the Council and to the Court of Auditors. \nBy the same date, the accounting officer of the Commission shall transmit a representation letter covering the final \nconsolidated accounts to the Court of Auditors. ', ' \nThe final consolidated accounts shall be published by 15 November in the Official Journal of the European Union \ntogether with the statement of assurance given by the Court of Auditors in accordance with Article 287 TFEU and \nArticle 106a of the Euratom Treaty. \nCHAPTER 2 \nIntegrated financial and accountability reporting ']",to in article 241 final accounts to the european parliament to the council to the court of auditors and to the accounting officer of the commission,to in article 241 final accounts to the
union institution,send,accounting officer,to the court of auditors with a copy to the accounting officer of the commission at the same date as the transmission of the accounting officer of the commission or,"['court', 'auditors', 'copy', 'accounting officer', 'commission', 'date', 'transmission', 'accounting officer', 'commission']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 246  Approval of the final consolidated accounts ,"[' \nThe Court of Auditors shall, by 1 June, make its observations on the provisional accounts of the Union institutions \nother than the Commission, and of each of the bodies referred to in Article 241, and, by 15 June, make its observations \non the provisional accounts of the Commission and the consolidated provisional accounts of the Union. ', ' \nThe accounting officers of the Union institutions other than the Commission and of the bodies referred to in \nArticle 241 shall, by 15 June, send the required accounting information to the accounting officer of the Commission, in \nthe manner and format laid down by the latter, with a view to drawing up the final consolidated accounts. \nThe Union institutions other than the Commission, and each of the bodies referred to in Article 241, shall, by 1 July, \nsend their final accounts to the European Parliament, to the Council, to the Court of Auditors and to the accounting \nofficer of the Commission. ', ' \nThe accounting officer of each Union institution and of each body referred to in Article 241 shall send to the Court \nof Auditors, with a copy to the accounting officer of the Commission, at the same date as the transmission of his or her \nfinal accounts, a representation letter covering those final accounts. \nThe final accounts shall be accompanied by a note drawn up by the accounting officer, in which the latter declares that \nthe final accounts were prepared in accordance with this Title and with the applicable accounting principles, rules and \nmethods set out in the notes to the financial statements. ', ' \nThe accounting officer of the Commission shall draw up the final consolidated accounts on the basis of the \ninformation presented pursuant to paragraph 2 of this Article by the Union institutions other than the Commission, \nand by the bodies referred to in Article 241. \nThe final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the Commission, \nin which the latter declares that the final consolidated accounts were prepared in accordance with this Title and with the \napplicable accounting principles, rules and methods set out in the notes to the financial statements. ', ' \nAfter approving the final consolidated accounts and its own final accounts, the Commission shall, by 31 July, send \nthem by electronic means to the European Parliament, to the Council and to the Court of Auditors. \nBy the same date, the accounting officer of the Commission shall transmit a representation letter covering the final \nconsolidated accounts to the Court of Auditors. ', ' \nThe final consolidated accounts shall be published by 15 November in the Official Journal of the European Union \ntogether with the statement of assurance given by the Court of Auditors in accordance with Article 287 TFEU and \nArticle 106a of the Euratom Treaty. \nCHAPTER 2 \nIntegrated financial and accountability reporting ']",to the court of auditors with a copy to the accounting officer of the commission at the same date as the transmission of the accounting officer of the commission or,to the court of auditors with a copy
final account,accompany,financial statement,by a note drawn up by the accounting officer of the commission in which the latter declares that their final accounts were prepared in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements,"['note', 'accounting officer', 'commission', '', 'final accounts', 'accordance', 'title', 'applicable accounting principles rules', 'methods', 'notes', 'financial statements']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 246  Approval of the final consolidated accounts ,"[' \nThe Court of Auditors shall, by 1 June, make its observations on the provisional accounts of the Union institutions \nother than the Commission, and of each of the bodies referred to in Article 241, and, by 15 June, make its observations \non the provisional accounts of the Commission and the consolidated provisional accounts of the Union. ', ' \nThe accounting officers of the Union institutions other than the Commission and of the bodies referred to in \nArticle 241 shall, by 15 June, send the required accounting information to the accounting officer of the Commission, in \nthe manner and format laid down by the latter, with a view to drawing up the final consolidated accounts. \nThe Union institutions other than the Commission, and each of the bodies referred to in Article 241, shall, by 1 July, \nsend their final accounts to the European Parliament, to the Council, to the Court of Auditors and to the accounting \nofficer of the Commission. ', ' \nThe accounting officer of each Union institution and of each body referred to in Article 241 shall send to the Court \nof Auditors, with a copy to the accounting officer of the Commission, at the same date as the transmission of his or her \nfinal accounts, a representation letter covering those final accounts. \nThe final accounts shall be accompanied by a note drawn up by the accounting officer, in which the latter declares that \nthe final accounts were prepared in accordance with this Title and with the applicable accounting principles, rules and \nmethods set out in the notes to the financial statements. ', ' \nThe accounting officer of the Commission shall draw up the final consolidated accounts on the basis of the \ninformation presented pursuant to paragraph 2 of this Article by the Union institutions other than the Commission, \nand by the bodies referred to in Article 241. \nThe final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the Commission, \nin which the latter declares that the final consolidated accounts were prepared in accordance with this Title and with the \napplicable accounting principles, rules and methods set out in the notes to the financial statements. ', ' \nAfter approving the final consolidated accounts and its own final accounts, the Commission shall, by 31 July, send \nthem by electronic means to the European Parliament, to the Council and to the Court of Auditors. \nBy the same date, the accounting officer of the Commission shall transmit a representation letter covering the final \nconsolidated accounts to the Court of Auditors. ', ' \nThe final consolidated accounts shall be published by 15 November in the Official Journal of the European Union \ntogether with the statement of assurance given by the Court of Auditors in accordance with Article 287 TFEU and \nArticle 106a of the Euratom Treaty. \nCHAPTER 2 \nIntegrated financial and accountability reporting ']",by a note drawn up by the accounting officer of the commission in which the latter declares that their final accounts were prepared in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements,by a note drawn up by the accounting
final account,prepare,financial statement,in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements,"['accordance', 'title', 'applicable accounting principles rules', 'methods', 'notes', 'financial statements']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 246  Approval of the final consolidated accounts ,"[' \nThe Court of Auditors shall, by 1 June, make its observations on the provisional accounts of the Union institutions \nother than the Commission, and of each of the bodies referred to in Article 241, and, by 15 June, make its observations \non the provisional accounts of the Commission and the consolidated provisional accounts of the Union. ', ' \nThe accounting officers of the Union institutions other than the Commission and of the bodies referred to in \nArticle 241 shall, by 15 June, send the required accounting information to the accounting officer of the Commission, in \nthe manner and format laid down by the latter, with a view to drawing up the final consolidated accounts. \nThe Union institutions other than the Commission, and each of the bodies referred to in Article 241, shall, by 1 July, \nsend their final accounts to the European Parliament, to the Council, to the Court of Auditors and to the accounting \nofficer of the Commission. ', ' \nThe accounting officer of each Union institution and of each body referred to in Article 241 shall send to the Court \nof Auditors, with a copy to the accounting officer of the Commission, at the same date as the transmission of his or her \nfinal accounts, a representation letter covering those final accounts. \nThe final accounts shall be accompanied by a note drawn up by the accounting officer, in which the latter declares that \nthe final accounts were prepared in accordance with this Title and with the applicable accounting principles, rules and \nmethods set out in the notes to the financial statements. ', ' \nThe accounting officer of the Commission shall draw up the final consolidated accounts on the basis of the \ninformation presented pursuant to paragraph 2 of this Article by the Union institutions other than the Commission, \nand by the bodies referred to in Article 241. \nThe final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the Commission, \nin which the latter declares that the final consolidated accounts were prepared in accordance with this Title and with the \napplicable accounting principles, rules and methods set out in the notes to the financial statements. ', ' \nAfter approving the final consolidated accounts and its own final accounts, the Commission shall, by 31 July, send \nthem by electronic means to the European Parliament, to the Council and to the Court of Auditors. \nBy the same date, the accounting officer of the Commission shall transmit a representation letter covering the final \nconsolidated accounts to the Court of Auditors. ', ' \nThe final consolidated accounts shall be published by 15 November in the Official Journal of the European Union \ntogether with the statement of assurance given by the Court of Auditors in accordance with Article 287 TFEU and \nArticle 106a of the Euratom Treaty. \nCHAPTER 2 \nIntegrated financial and accountability reporting ']",in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements,in accordance with this title and with the
final consolidated account,accompany,financial statement,by a note drawn up by the accounting officer of the commission in which the latter declares that the final consolidated accounts were prepared in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements,"['note', 'accounting officer', 'commission', '', 'final consolidated accounts', 'accordance', 'title', 'applicable accounting principles rules', 'methods', 'notes', 'financial statements']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 246  Approval of the final consolidated accounts ,"[' \nThe Court of Auditors shall, by 1 June, make its observations on the provisional accounts of the Union institutions \nother than the Commission, and of each of the bodies referred to in Article 241, and, by 15 June, make its observations \non the provisional accounts of the Commission and the consolidated provisional accounts of the Union. ', ' \nThe accounting officers of the Union institutions other than the Commission and of the bodies referred to in \nArticle 241 shall, by 15 June, send the required accounting information to the accounting officer of the Commission, in \nthe manner and format laid down by the latter, with a view to drawing up the final consolidated accounts. \nThe Union institutions other than the Commission, and each of the bodies referred to in Article 241, shall, by 1 July, \nsend their final accounts to the European Parliament, to the Council, to the Court of Auditors and to the accounting \nofficer of the Commission. ', ' \nThe accounting officer of each Union institution and of each body referred to in Article 241 shall send to the Court \nof Auditors, with a copy to the accounting officer of the Commission, at the same date as the transmission of his or her \nfinal accounts, a representation letter covering those final accounts. \nThe final accounts shall be accompanied by a note drawn up by the accounting officer, in which the latter declares that \nthe final accounts were prepared in accordance with this Title and with the applicable accounting principles, rules and \nmethods set out in the notes to the financial statements. ', ' \nThe accounting officer of the Commission shall draw up the final consolidated accounts on the basis of the \ninformation presented pursuant to paragraph 2 of this Article by the Union institutions other than the Commission, \nand by the bodies referred to in Article 241. \nThe final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the Commission, \nin which the latter declares that the final consolidated accounts were prepared in accordance with this Title and with the \napplicable accounting principles, rules and methods set out in the notes to the financial statements. ', ' \nAfter approving the final consolidated accounts and its own final accounts, the Commission shall, by 31 July, send \nthem by electronic means to the European Parliament, to the Council and to the Court of Auditors. \nBy the same date, the accounting officer of the Commission shall transmit a representation letter covering the final \nconsolidated accounts to the Court of Auditors. ', ' \nThe final consolidated accounts shall be published by 15 November in the Official Journal of the European Union \ntogether with the statement of assurance given by the Court of Auditors in accordance with Article 287 TFEU and \nArticle 106a of the Euratom Treaty. \nCHAPTER 2 \nIntegrated financial and accountability reporting ']",by a note drawn up by the accounting officer of the commission in which the latter declares that the final consolidated accounts were prepared in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements,by a note drawn up by the accounting
final consolidated account,prepare,financial statement,in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements,"['accordance', 'title', 'applicable accounting principles rules', 'methods', 'notes', 'financial statements']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 246  Approval of the final consolidated accounts ,"[' \nThe Court of Auditors shall, by 1 June, make its observations on the provisional accounts of the Union institutions \nother than the Commission, and of each of the bodies referred to in Article 241, and, by 15 June, make its observations \non the provisional accounts of the Commission and the consolidated provisional accounts of the Union. ', ' \nThe accounting officers of the Union institutions other than the Commission and of the bodies referred to in \nArticle 241 shall, by 15 June, send the required accounting information to the accounting officer of the Commission, in \nthe manner and format laid down by the latter, with a view to drawing up the final consolidated accounts. \nThe Union institutions other than the Commission, and each of the bodies referred to in Article 241, shall, by 1 July, \nsend their final accounts to the European Parliament, to the Council, to the Court of Auditors and to the accounting \nofficer of the Commission. ', ' \nThe accounting officer of each Union institution and of each body referred to in Article 241 shall send to the Court \nof Auditors, with a copy to the accounting officer of the Commission, at the same date as the transmission of his or her \nfinal accounts, a representation letter covering those final accounts. \nThe final accounts shall be accompanied by a note drawn up by the accounting officer, in which the latter declares that \nthe final accounts were prepared in accordance with this Title and with the applicable accounting principles, rules and \nmethods set out in the notes to the financial statements. ', ' \nThe accounting officer of the Commission shall draw up the final consolidated accounts on the basis of the \ninformation presented pursuant to paragraph 2 of this Article by the Union institutions other than the Commission, \nand by the bodies referred to in Article 241. \nThe final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the Commission, \nin which the latter declares that the final consolidated accounts were prepared in accordance with this Title and with the \napplicable accounting principles, rules and methods set out in the notes to the financial statements. ', ' \nAfter approving the final consolidated accounts and its own final accounts, the Commission shall, by 31 July, send \nthem by electronic means to the European Parliament, to the Council and to the Court of Auditors. \nBy the same date, the accounting officer of the Commission shall transmit a representation letter covering the final \nconsolidated accounts to the Court of Auditors. ', ' \nThe final consolidated accounts shall be published by 15 November in the Official Journal of the European Union \ntogether with the statement of assurance given by the Court of Auditors in accordance with Article 287 TFEU and \nArticle 106a of the Euratom Treaty. \nCHAPTER 2 \nIntegrated financial and accountability reporting ']",in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements,in accordance with this title and with the
final consolidated account,refer,follow financial year,the annual management and performance report providing for a clear and concise summary of the internal control and financial management achievements referred to in the annual activity reports of each authorising officer by delegation and including information on key governance arrangements in the commission by 31 july of the following financial year the commission shall communicate to the european parliament and to the council an integrated set of financial and accountability reports which includes to in article 246,"['annual management performance report', 'clear concise summary', 'internal control financial management achievements', 'annual activity reports', 'authorising officer', 'delegation', 'information', 'key governance arrangements', 'commission', '31 july', 'following financial year', 'commission', 'european parliament', 'council', 'integrated set', 'financial accountability reports', '', 'article']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 247  Integrated financial and accountability reporting ,"[' \nBy 31 July of the following financial year the Commission shall communicate to the European Parliament and to \nthe Council an integrated set of financial and accountability reports which includes: \n(a) the final consolidated accounts as referred to in Article 246; \n(b) the annual management and performance report providing for a clear and concise summary of the internal control \nand financial management achievements referred to in the annual activity reports of each authorising officer by \ndelegation and including information on key governance arrangements in the Commission as well as: \n(i) an estimation of the level of error in Union expenditure based on a consistent methodology and an estimate of \nfuture corrections; \n(ii) information on the preventive and corrective actions covering the budget, which shall present the financial \nimpact of the actions taken to protect the budget from expenditure in breach of law; \n(iii) information on the implementation of the Commission’s anti-fraud strategy; \n(c) a long-term forecast of future inflows and outflows covering the next five years, based on the applicable multiannual \nfinancial frameworks and Decision 2014/335/EU, Euratom; \nL 193/148  \n\x0c \n(d) the annual internal audit report as referred to in Article 118(4); \n(e) the evaluation on the Union’s finances based on the results achieved, as referred to in Article 318 TFEU, assessing in \nparticular the progress towards the achievement of policy objectives taking into account the performance indicators \nreferred to in Article 33 of this Regulation; \n(f) the report on the follow-up to the discharge as referred to in Article 261(3). ', ' \nThe integrated financial and accountability reporting referred to in paragraph 1 shall present each report in a \nseparate and clearly identifiable manner. Each individual report shall be made available to the European Parliament, to the \nCouncil and to the Court of Auditors by 30 June, with the exception of the final consolidated accounts. \nCHAPTER 3 \nBudgetary and other financial reporting ']",the annual management and performance report providing for a clear and concise summary of the internal control and financial management achievements referred to in the annual activity reports of each authorising officer by delegation and including information on key governance arrangements in the commission by 31 july of the following financial year the commission shall communicate to the european parliament and to the council an integrated set of financial and accountability reports which includes to in article 246,the annual management and performance report providing for
performance indicator,refer,article,the report on the followup to in article 33 of this regulation to the discharge,"['report', 'followup', 'article', 'regulation', 'discharge']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 247  Integrated financial and accountability reporting ,"[' \nBy 31 July of the following financial year the Commission shall communicate to the European Parliament and to \nthe Council an integrated set of financial and accountability reports which includes: \n(a) the final consolidated accounts as referred to in Article 246; \n(b) the annual management and performance report providing for a clear and concise summary of the internal control \nand financial management achievements referred to in the annual activity reports of each authorising officer by \ndelegation and including information on key governance arrangements in the Commission as well as: \n(i) an estimation of the level of error in Union expenditure based on a consistent methodology and an estimate of \nfuture corrections; \n(ii) information on the preventive and corrective actions covering the budget, which shall present the financial \nimpact of the actions taken to protect the budget from expenditure in breach of law; \n(iii) information on the implementation of the Commission’s anti-fraud strategy; \n(c) a long-term forecast of future inflows and outflows covering the next five years, based on the applicable multiannual \nfinancial frameworks and Decision 2014/335/EU, Euratom; \nL 193/148  \n\x0c \n(d) the annual internal audit report as referred to in Article 118(4); \n(e) the evaluation on the Union’s finances based on the results achieved, as referred to in Article 318 TFEU, assessing in \nparticular the progress towards the achievement of policy objectives taking into account the performance indicators \nreferred to in Article 33 of this Regulation; \n(f) the report on the follow-up to the discharge as referred to in Article 261(3). ', ' \nThe integrated financial and accountability reporting referred to in paragraph 1 shall present each report in a \nseparate and clearly identifiable manner. Each individual report shall be made available to the European Parliament, to the \nCouncil and to the Court of Auditors by 30 June, with the exception of the final consolidated accounts. \nCHAPTER 3 \nBudgetary and other financial reporting ']",the report on the followup to in article 33 of this regulation to the discharge,the report on the followup to in article
performance indicator,refer,article,to in article 261(3,['article'],TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 247  Integrated financial and accountability reporting ,"[' \nBy 31 July of the following financial year the Commission shall communicate to the European Parliament and to \nthe Council an integrated set of financial and accountability reports which includes: \n(a) the final consolidated accounts as referred to in Article 246; \n(b) the annual management and performance report providing for a clear and concise summary of the internal control \nand financial management achievements referred to in the annual activity reports of each authorising officer by \ndelegation and including information on key governance arrangements in the Commission as well as: \n(i) an estimation of the level of error in Union expenditure based on a consistent methodology and an estimate of \nfuture corrections; \n(ii) information on the preventive and corrective actions covering the budget, which shall present the financial \nimpact of the actions taken to protect the budget from expenditure in breach of law; \n(iii) information on the implementation of the Commission’s anti-fraud strategy; \n(c) a long-term forecast of future inflows and outflows covering the next five years, based on the applicable multiannual \nfinancial frameworks and Decision 2014/335/EU, Euratom; \nL 193/148  \n\x0c \n(d) the annual internal audit report as referred to in Article 118(4); \n(e) the evaluation on the Union’s finances based on the results achieved, as referred to in Article 318 TFEU, assessing in \nparticular the progress towards the achievement of policy objectives taking into account the performance indicators \nreferred to in Article 33 of this Regulation; \n(f) the report on the follow-up to the discharge as referred to in Article 261(3). ', ' \nThe integrated financial and accountability reporting referred to in paragraph 1 shall present each report in a \nseparate and clearly identifiable manner. Each individual report shall be made available to the European Parliament, to the \nCouncil and to the Court of Auditors by 30 June, with the exception of the final consolidated accounts. \nCHAPTER 3 \nBudgetary and other financial reporting ']",to in article 2613,to in article 2613
integrate financial accountability report,refer,paragraph,shall present each report in a separate and clearly identifiable manner to in paragraph 1,"['report', 'separate clearly identifiable manner', 'paragraph']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 247  Integrated financial and accountability reporting ,"[' \nBy 31 July of the following financial year the Commission shall communicate to the European Parliament and to \nthe Council an integrated set of financial and accountability reports which includes: \n(a) the final consolidated accounts as referred to in Article 246; \n(b) the annual management and performance report providing for a clear and concise summary of the internal control \nand financial management achievements referred to in the annual activity reports of each authorising officer by \ndelegation and including information on key governance arrangements in the Commission as well as: \n(i) an estimation of the level of error in Union expenditure based on a consistent methodology and an estimate of \nfuture corrections; \n(ii) information on the preventive and corrective actions covering the budget, which shall present the financial \nimpact of the actions taken to protect the budget from expenditure in breach of law; \n(iii) information on the implementation of the Commission’s anti-fraud strategy; \n(c) a long-term forecast of future inflows and outflows covering the next five years, based on the applicable multiannual \nfinancial frameworks and Decision 2014/335/EU, Euratom; \nL 193/148  \n\x0c \n(d) the annual internal audit report as referred to in Article 118(4); \n(e) the evaluation on the Union’s finances based on the results achieved, as referred to in Article 318 TFEU, assessing in \nparticular the progress towards the achievement of policy objectives taking into account the performance indicators \nreferred to in Article 33 of this Regulation; \n(f) the report on the follow-up to the discharge as referred to in Article 261(3). ', ' \nThe integrated financial and accountability reporting referred to in paragraph 1 shall present each report in a \nseparate and clearly identifiable manner. Each individual report shall be made available to the European Parliament, to the \nCouncil and to the Court of Auditors by 30 June, with the exception of the final consolidated accounts. \nCHAPTER 3 \nBudgetary and other financial reporting ']",shall present each report in a separate and clearly identifiable manner to in paragraph 1,shall present each report in a separate and
integrate financial accountability report,present,report,each report in a separate and clearly identifiable manner,"['report', 'separate clearly identifiable manner']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 247  Integrated financial and accountability reporting ,"[' \nBy 31 July of the following financial year the Commission shall communicate to the European Parliament and to \nthe Council an integrated set of financial and accountability reports which includes: \n(a) the final consolidated accounts as referred to in Article 246; \n(b) the annual management and performance report providing for a clear and concise summary of the internal control \nand financial management achievements referred to in the annual activity reports of each authorising officer by \ndelegation and including information on key governance arrangements in the Commission as well as: \n(i) an estimation of the level of error in Union expenditure based on a consistent methodology and an estimate of \nfuture corrections; \n(ii) information on the preventive and corrective actions covering the budget, which shall present the financial \nimpact of the actions taken to protect the budget from expenditure in breach of law; \n(iii) information on the implementation of the Commission’s anti-fraud strategy; \n(c) a long-term forecast of future inflows and outflows covering the next five years, based on the applicable multiannual \nfinancial frameworks and Decision 2014/335/EU, Euratom; \nL 193/148  \n\x0c \n(d) the annual internal audit report as referred to in Article 118(4); \n(e) the evaluation on the Union’s finances based on the results achieved, as referred to in Article 318 TFEU, assessing in \nparticular the progress towards the achievement of policy objectives taking into account the performance indicators \nreferred to in Article 33 of this Regulation; \n(f) the report on the follow-up to the discharge as referred to in Article 261(3). ', ' \nThe integrated financial and accountability reporting referred to in paragraph 1 shall present each report in a \nseparate and clearly identifiable manner. Each individual report shall be made available to the European Parliament, to the \nCouncil and to the Court of Auditors by 30 June, with the exception of the final consolidated accounts. \nCHAPTER 3 \nBudgetary and other financial reporting ']",each report in a separate and clearly identifiable manner,each report in a separate and clearly identifiable
individual report,make,final consolidated account,by 30 june with the exception of the final consolidated accounts,"['30 june', 'exception', 'final consolidated accounts']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 247  Integrated financial and accountability reporting ,"[' \nBy 31 July of the following financial year the Commission shall communicate to the European Parliament and to \nthe Council an integrated set of financial and accountability reports which includes: \n(a) the final consolidated accounts as referred to in Article 246; \n(b) the annual management and performance report providing for a clear and concise summary of the internal control \nand financial management achievements referred to in the annual activity reports of each authorising officer by \ndelegation and including information on key governance arrangements in the Commission as well as: \n(i) an estimation of the level of error in Union expenditure based on a consistent methodology and an estimate of \nfuture corrections; \n(ii) information on the preventive and corrective actions covering the budget, which shall present the financial \nimpact of the actions taken to protect the budget from expenditure in breach of law; \n(iii) information on the implementation of the Commission’s anti-fraud strategy; \n(c) a long-term forecast of future inflows and outflows covering the next five years, based on the applicable multiannual \nfinancial frameworks and Decision 2014/335/EU, Euratom; \nL 193/148  \n\x0c \n(d) the annual internal audit report as referred to in Article 118(4); \n(e) the evaluation on the Union’s finances based on the results achieved, as referred to in Article 318 TFEU, assessing in \nparticular the progress towards the achievement of policy objectives taking into account the performance indicators \nreferred to in Article 33 of this Regulation; \n(f) the report on the follow-up to the discharge as referred to in Article 261(3). ', ' \nThe integrated financial and accountability reporting referred to in paragraph 1 shall present each report in a \nseparate and clearly identifiable manner. Each individual report shall be made available to the European Parliament, to the \nCouncil and to the Court of Auditors by 30 June, with the exception of the final consolidated accounts. \nCHAPTER 3 \nBudgetary and other financial reporting ']",by 30 june with the exception of the final consolidated accounts,by 30 june with the exception of the
accounting officer,send,european parliament,in addition to the annual statements and reports provided for in articles 243 and 244 once to the european parliament and to the council figures,"['addition', 'annual statements', 'reports', 'articles', 'european parliament', 'council figures']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 248  Monthly reporting on budget implementation ,"['\nIn addition to the annual statements and reports provided for in Articles 243 and 244, the accounting officer of the \nCommission shall send once a month to the European Parliament and to the Council figures, aggregated at chapter level \nat least, as well as separately broken down by chapter, article and item, on budget implementation, both for revenue and \nfor expenditure covering all available appropriations. Those figures shall also provide details of the use of appropriations \ncarried over. \nThe figures shall be made available within 10 working days of the end of each month via the Commission’s website. ']",in addition to the annual statements and reports provided for in articles 243 and 244 once to the european parliament and to the council figures,in addition to the annual statements and reports
